s.no.,Division/ Seat No.,Name of Member,Session,From Date,To Date,State,Total Sittings,No of days member signed the register
184,204,Dr. K.V.P. Ramachandra Rao,239,25/04/2016,13/05/2016,Telangana,15,15
185,205,Shri Mohd. Ali Khan,239,25/04/2016,13/05/2016,Andhra Pradesh,15,15
186,206,Dr. Sanjay Sinh,239,25/04/2016,13/05/2016,Assam,15,15
187,207,Shri Ram Jethmalani,239,25/04/2016,13/05/2016,Bihar,15,10
188,208,Shri Sanjiv Kumar,239,25/04/2016,13/05/2016,Jharkhand,15,12
189,211,Smt. Viplove Thakur,239,25/04/2016,13/05/2016,Himanchal Pradesh,15,10
190,212,Shri Ananda Bhaskar Rapolu,239,25/04/2016,13/05/2016,Telangana,15,15
191,213,Shri P. Bhattacharya,239,25/04/2016,13/05/2016,West Bangal,15,8
192,214,Shri Praveen Rashtrapal,239,25/04/2016,13/05/2016,Gujrat,15,12
193,214,Shri Shantaram Naik,239,25/04/2016,13/05/2016,GOA,15,14
194,215,Shri Ranjib Biswal,239,25/04/2016,13/05/2016,Odisha,15,13
195,216,Shri Husain Dalwai,239,25/04/2016,13/05/2016,Maharashtra,15,13
196,221,Shri Joy Abraham,239,25/04/2016,13/05/2016,Karnataka,15,1
197,222,Shri Abdul Wahab,239,25/04/2016,13/05/2016,Karnataka,15,5
198,223,Shri Ronald Sapa Tlau,239,25/04/2016,13/05/2016,Mizoram,15,15
199,224,Shri Palvai Govardhan Reddy,239,25/04/2016,13/05/2016,Telangana,15,13
200,224,Shri Dhiraj Prasad Sahu,239,25/04/2016,13/05/2016,Jharkhand,15,10
201,225,Shri Avinash Pande,239,25/04/2016,13/05/2016,Maharashtra,15,13
202,225,Shri Santiuse Kujur,239,25/04/2016,13/05/2016,Assam,15,14
203,226,Haji Abdul Salam,239,25/04/2016,13/05/2016,Manipur,15,14
204,227,Prof. M.V. Rajeev Gowda,239,25/04/2016,13/05/2016,Karnataka,15,10
205,228,Shri Ghulam Nabi Azad,239,25/04/2016,13/05/2016,Jammu & Kashmir,15,LOP
206,229,Prof. P.J. Kurien,239,25/04/2016,13/05/2016,Karnataka,15,HDC
207,230,Shri Satyavrat Chaturvedi,239,25/04/2016,13/05/2016,Madhya Pradesh,15,14
208,231,Smt. Ambika Soni,239,25/04/2016,13/05/2016,Punjab,15,13
209,232,Smt. Mohsina Kidwai,239,25/04/2016,13/05/2016,Chhatisgarh,15,15
210,233,Shri Pramod Tiwari,239,25/04/2016,13/05/2016,Uttar Pradesh,15,15
211,234,Shri Vayalar Ravi,239,25/04/2016,13/05/2016,Karnataka,15,9
212,235,Dr. Abhishek Manu Singhvi,239,25/04/2016,13/05/2016,Rajasthan,15,4
213,236,Smt. Renuka Chowdhury,239,25/04/2016,13/05/2016,Andhra Pradesh,15,14
214,237,Shri Satish Sharma,239,25/04/2016,13/05/2016,Uttar Pradesh,15,13
215,237,Shri Mukut Mithi,239,25/04/2016,13/05/2016,Arunachal Pradesh,15,13
216,239,Shri B.K. Hariprasad,239,25/04/2016,13/05/2016,Karnataka,15,9
217,240,Shri Partap Singh Bajwa,239,25/04/2016,13/05/2016,Punjab,15,12
218,241,Dr. E.M. Sudarsana Natchiappan,239,25/04/2016,13/05/2016,Tamilnadu,15,12
219,242,Shri Vijay Jawaharlal Darda,239,25/04/2016,13/05/2016,Maharashtra,15,13
220,243,Smt. Rajani Patil,239,25/04/2016,13/05/2016,Maharashtra,15,14
221,244,Smt. Wansuk Syiem,239,25/04/2016,13/05/2016,Meghalaya,15,12
222,245,Dr. Vijaylaxmi Sadho,239,25/04/2016,13/05/2016,Madhya Pradesh,15,10
223,246,Shri Ripun Bora,239,25/04/2016,13/05/2016,Assam,15,15
224,248,Shri Ashk Ali Tak,239,25/04/2016,13/05/2016,Rajasthan,15,15
225,249,Dr. Pradeep Kumar Balmuchu,239,25/04/2016,13/05/2016,Jharkhand,15,14
226,250,Shri Mahendra Singh Mahra,239,25/04/2016,13/05/2016,Uttara Khand,15,15
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
